Participant_number,dominant_priority,rt,Priority_difference,chosen_pr,Chose_priority,Side,Previous_Side,Different?,New participant,stimulus_block
5,1129.688426,1243.4,3393.957241,1129.688426,1,Left,Right,yes,no,A-E
5,1129.688426,996.5,3353.074856,-2223.38643,0,Right,Right,yes,no,A-E
5,1255.024952,1289.4,3678.988335,1255.024952,1,Right,Right,no,no,A-E
5,1453.011627,1173.7,3876.97501,1453.011627,1,Right,Right,yes,no,A-E
5,1560.242807,1223.8,3824.511622,-2264.268815,0,Right,Left,no,no,A-E
5,1572.12696,1623.8,4126.747895,1572.12696,1,Left,Left,yes,no,A-E
5,1129.688426,891.5,3104.507392,1129.688426,1,Left,Right,no,no,A-E
5,1166.521266,745.6999998,3610.486472,1166.521266,1,Right,Right,yes,no,A-E
5,1166.521266,1334.4,4026.137165,1166.521266,1,Right,Right,no,no,A-E
5,2002.718236,1390.5,4121.071004,-2118.352768,0,Right,Left,no,no,A-E
5,2002.718236,2403.1,4226.104666,2002.718236,1,Left,Right,yes,no,A-E
5,1941.175699,1376.8,3922.366434,-1981.190735,0,Right,Left,yes,no,A-E
5,1255.024952,1624.6,3532.539452,-2277.5145,0,Left,Left,yes,no,A-E
5,1129.688426,1480.9,3549.846709,1129.688426,1,Left,Right,no,no,A-E
5,1560.242807,2199.8,3984.20619,-2423.963383,0,Right,Right,yes,no,A-E
5,1572.12696,1197.4,3992.285243,1572.12696,1,Right,Right,no,no,A-E
5,1255.024952,1675.4,3580.440271,-2325.415319,0,Right,Right,no,no,A-E
